contrat_id,client_id,produit_id,type_produit,date_souscription,date_effet,date_echeance,prime_mensuelle,capital_assure,franchise,statut,mode_paiement,loaded_at
CTR_000001,CLI_000001,PROD_Santé_04,Santé,2024-12-26,2024-12-26,2026-12-16,128.09,0.0,0,Actif,Virement,2026-02-15 18:34:20.531162
CTR_000002,CLI_000002,PROD_Santé_04,Santé,2024-10-01,2024-10-01,2028-09-10,106.44,0.0,0,Résilié,Virement,2026-02-15 18:34:20.532173
CTR_000003,CLI_000002,PROD_Santé_04,Santé,2024-07-23,2024-07-23,2027-07-08,54.27,0.0,0,Actif,Carte,2026-02-15 18:34:20.532416
CTR_000004,CLI_000002,PROD_Épargne_01,Épargne,2024-06-14,2024-06-14,2026-06-04,265.03,21114.09,0,Actif,Prélèvement,2026-02-15 18:34:20.532650
CTR_000005,CLI_000003,PROD_Épargne_03,Épargne,2024-12-13,2024-12-13,2027-11-28,676.94,32158.36,0,Résilié,Carte,2026-02-15 18:34:20.533658
CTR_000006,CLI_000003,PROD_Épargne_03,Épargne,2024-11-10,2024-11-10,2026-10-31,462.54,52986.15,0,Actif,Carte,2026-02-15 18:34:20.533970
CTR_000007,CLI_000003,PROD_Habitation_02,Habitation,2024-10-08,2024-10-08,2026-09-28,23.26,152335.11,500,Actif,Carte,2026-02-15 18:34:20.534327
CTR_000008,CLI_000004,PROD_Santé_03,Santé,2024-09-18,2024-09-18,2027-09-03,194.15,0.0,0,Actif,Carte,2026-02-15 18:34:20.535413
CTR_000009,CLI_000004,PROD_Vie_01,Vie,2024-10-06,2024-10-06,2027-09-21,465.72,322475.67,0,Actif,Prélèvement,2026-02-15 18:34:20.536528
CTR_000010,CLI_000004,PROD_Auto_01,Auto,2024-11-24,2024-11-24,2026-11-14,95.38,32790.26,1000,Actif,Prélèvement,2026-02-15 18:34:20.537198
CTR_000011,CLI_000004,PROD_Épargne_05,Épargne,2024-09-23,2024-09-23,2028-09-02,436.81,33350.9,0,Actif,Virement,2026-02-15 18:34:20.537664
CTR_000012,CLI_000005,PROD_Vie_03,Vie,2024-09-25,2024-09-25,2027-09-10,119.93,480492.75,0,Actif,Virement,2026-02-15 18:34:20.538702
CTR_000013,CLI_000006,PROD_Auto_02,Auto,2024-11-26,2024-11-26,2025-11-21,148.87,14496.7,500,Actif,Prélèvement,2026-02-15 18:34:20.539428
CTR_000014,CLI_000006,PROD_Habitation_02,Habitation,2024-11-25,2024-11-25,2028-11-04,25.04,216285.64,1000,Résilié,Prélèvement,2026-02-15 18:34:20.539728
CTR_000015,CLI_000007,PROD_Santé_05,Santé,2024-08-30,2024-08-30,2029-08-04,71.32,0.0,0,Résilié,Prélèvement,2026-02-15 18:34:20.540407
CTR_000016,CLI_000008,PROD_Épargne_05,Épargne,2024-10-27,2024-10-27,2028-10-06,160.11,71821.78,0,Actif,Carte,2026-02-15 18:34:20.541076
CTR_000017,CLI_000008,PROD_Auto_03,Auto,2024-12-14,2024-12-14,2027-11-29,99.96,30572.75,1000,Actif,Prélèvement,2026-02-15 18:34:20.541302
CTR_000018,CLI_000009,PROD_Habitation_04,Habitation,2023-05-30,2023-05-30,2024-05-24,30.46,87279.96,1000,Actif,Carte,2026-02-15 18:34:20.542022
CTR_000019,CLI_000009,PROD_Auto_02,Auto,2023-10-16,2023-10-16,2028-09-19,37.4,13356.51,300,Actif,Carte,2026-02-15 18:34:20.542241
CTR_000020,CLI_000010,PROD_Auto_03,Auto,2024-09-23,2024-09-23,2027-09-08,110.95,25485.81,200,Actif,Virement,2026-02-15 18:34:20.542929
CTR_000021,CLI_000011,PROD_Auto_01,Auto,2022-12-28,2022-12-28,2023-12-23,148.18,47029.73,1000,Résilié,Carte,2026-02-15 18:34:20.543651
CTR_000022,CLI_000011,PROD_Santé_03,Santé,2022-11-27,2022-11-27,2024-11-16,74.78,0.0,0,Actif,Prélèvement,2026-02-15 18:34:20.543859
CTR_000023,CLI_000011,PROD_Épargne_03,Épargne,2023-10-21,2023-10-21,2027-09-30,970.16,17040.4,0,Actif,Carte,2026-02-15 18:34:20.544016
CTR_000024,CLI_000011,PROD_Santé_02,Santé,2024-05-04,2024-05-04,2025-04-29,152.86,0.0,0,Actif,Prélèvement,2026-02-15 18:34:20.544209
CTR_000025,CLI_000012,PROD_Santé_04,Santé,2023-07-02,2023-07-02,2026-06-16,148.88,0.0,0,Actif,Carte,2026-02-15 18:34:20.544968
CTR_000026,CLI_000012,PROD_Santé_03,Santé,2023-03-19,2023-03-19,2024-03-13,107.91,0.0,0,Actif,Prélèvement,2026-02-15 18:34:20.545191
CTR_000027,CLI_000012,PROD_Habitation_05,Habitation,2022-06-06,2022-06-06,2027-05-11,44.31,231516.57,1000,Actif,Carte,2026-02-15 18:34:20.545325
CTR_000028,CLI_000012,PROD_Épargne_04,Épargne,2024-07-25,2024-07-25,2028-07-04,259.69,57685.47,0,Actif,Prélèvement,2026-02-15 18:34:20.545796
CTR_000029,CLI_000013,PROD_Épargne_04,Épargne,2024-11-07,2024-11-07,2025-11-02,359.09,14508.88,0,Actif,Carte,2026-02-15 18:34:20.547309
CTR_000030,CLI_000013,PROD_Auto_02,Auto,2024-09-09,2024-09-09,2026-08-30,51.45,42018.78,500,Actif,Prélèvement,2026-02-15 18:34:20.548211
CTR_000031,CLI_000014,PROD_Vie_01,Vie,2022-11-09,2022-11-09,2026-10-19,184.05,303214.42,0,Résilié,Carte,2026-02-15 18:34:20.549652
CTR_000032,CLI_000014,PROD_Habitation_04,Habitation,2024-07-21,2024-07-21,2026-07-11,51.19,229672.0,300,Actif,Virement,2026-02-15 18:34:20.549934
CTR_000033,CLI_000014,PROD_Auto_05,Auto,2024-12-19,2024-12-19,2028-11-28,86.11,11439.25,1000,Actif,Virement,2026-02-15 18:34:20.550177
CTR_000034,CLI_000014,PROD_Habitation_01,Habitation,2023-05-22,2023-05-22,2025-05-11,23.89,74899.17,500,Actif,Carte,2026-02-15 18:34:20.550691
CTR_000035,CLI_000015,PROD_Vie_03,Vie,2024-10-04,2024-10-04,2028-09-13,279.18,201795.41,0,Actif,Virement,2026-02-15 18:34:20.552315
CTR_000036,CLI_000015,PROD_Vie_01,Vie,2023-09-14,2023-09-14,2025-09-03,107.54,222166.82,0,Actif,Carte,2026-02-15 18:34:20.553511
CTR_000037,CLI_000015,PROD_Vie_05,Vie,2023-09-28,2023-09-28,2028-09-01,197.3,104148.31,0,Actif,Virement,2026-02-15 18:34:20.554429
CTR_000038,CLI_000016,PROD_Habitation_02,Habitation,2024-04-20,2024-04-20,2028-03-30,71.4,100195.87,500,Actif,Prélèvement,2026-02-15 18:34:20.555557
CTR_000039,CLI_000017,PROD_Auto_01,Auto,2024-11-26,2024-11-26,2029-10-31,116.66,18910.68,200,Actif,Carte,2026-02-15 18:34:20.556597
CTR_000040,CLI_000017,PROD_Santé_03,Santé,2024-11-11,2024-11-11,2028-10-21,115.13,0.0,0,Actif,Carte,2026-02-15 18:34:20.556875
CTR_000041,CLI_000017,PROD_Habitation_03,Habitation,2024-10-20,2024-10-20,2025-10-15,31.24,80653.03,300,Résilié,Carte,2026-02-15 18:34:20.557132
CTR_000042,CLI_000017,PROD_Épargne_05,Épargne,2024-08-18,2024-08-18,2026-08-08,725.83,10309.3,0,Actif,Prélèvement,2026-02-15 18:34:20.557379
CTR_000043,CLI_000018,PROD_Vie_05,Vie,2024-11-13,2024-11-13,2026-11-03,267.98,308473.69,0,Actif,Prélèvement,2026-02-15 18:34:20.558780
CTR_000044,CLI_000019,PROD_Habitation_05,Habitation,2024-02-04,2024-02-04,2028-01-14,94.63,197127.83,300,Actif,Virement,2026-02-15 18:34:20.560260
CTR_000045,CLI_000020,PROD_Auto_03,Auto,2023-10-31,2023-10-31,2025-10-20,99.35,22942.02,1000,Actif,Virement,2026-02-15 18:34:20.561951
CTR_000046,CLI_000021,PROD_Auto_05,Auto,2024-12-19,2024-12-19,2028-11-28,146.25,15800.9,500,Résilié,Prélèvement,2026-02-15 18:34:20.562730
CTR_000047,CLI_000021,PROD_Santé_01,Santé,2024-12-20,2024-12-20,2028-11-29,135.4,0.0,0,Actif,Carte,2026-02-15 18:34:20.562947
CTR_000048,CLI_000021,PROD_Habitation_03,Habitation,2024-12-25,2024-12-25,2026-12-15,44.88,222847.87,1000,Actif,Carte,2026-02-15 18:34:20.563138
CTR_000049,CLI_000022,PROD_Santé_01,Santé,2023-02-11,2023-02-11,2027-01-21,94.75,0.0,0,Actif,Carte,2026-02-15 18:34:20.564319
CTR_000050,CLI_000022,PROD_Santé_03,Santé,2023-05-18,2023-05-18,2024-05-12,151.35,0.0,0,Actif,Prélèvement,2026-02-15 18:34:20.564499
CTR_000051,CLI_000023,PROD_Auto_05,Auto,2023-04-28,2023-04-28,2024-04-22,104.63,14156.87,200,Actif,Prélèvement,2026-02-15 18:34:20.565174
CTR_000052,CLI_000023,PROD_Vie_01,Vie,2024-09-20,2024-09-20,2025-09-15,412.11,495972.47,0,Actif,Prélèvement,2026-02-15 18:34:20.565337
CTR_000053,CLI_000023,PROD_Habitation_05,Habitation,2023-11-03,2023-11-03,2027-10-13,68.84,92759.02,500,Actif,Prélèvement,2026-02-15 18:34:20.565497
CTR_000054,CLI_000023,PROD_Auto_03,Auto,2024-12-11,2024-12-11,2025-12-06,71.57,33910.74,500,Actif,Virement,2026-02-15 18:34:20.565691
CTR_000055,CLI_000024,PROD_Vie_05,Vie,2022-09-16,2022-09-16,2027-08-21,427.32,351023.98,0,Actif,Prélèvement,2026-02-15 18:34:20.566233
CTR_000056,CLI_000024,PROD_Vie_01,Vie,2023-03-14,2023-03-14,2028-02-16,468.99,338402.02,0,Actif,Prélèvement,2026-02-15 18:34:20.566395
CTR_000057,CLI_000025,PROD_Auto_05,Auto,2023-08-25,2023-08-25,2024-08-19,134.27,15599.95,500,Actif,Carte,2026-02-15 18:34:20.566989
CTR_000058,CLI_000025,PROD_Auto_04,Auto,2023-11-17,2023-11-17,2024-11-11,113.3,11658.5,500,Actif,Virement,2026-02-15 18:34:20.567144
CTR_000059,CLI_000026,PROD_Vie_02,Vie,2024-10-09,2024-10-09,2026-09-29,373.76,316285.14,0,Actif,Carte,2026-02-15 18:34:20.567743
CTR_000060,CLI_000026,PROD_Épargne_03,Épargne,2023-07-03,2023-07-03,2025-06-22,215.75,65891.06,0,Actif,Prélèvement,2026-02-15 18:34:20.567968
CTR_000061,CLI_000026,PROD_Santé_04,Santé,2023-09-19,2023-09-19,2025-09-08,120.08,0.0,0,Résilié,Prélèvement,2026-02-15 18:34:20.569303
CTR_000062,CLI_000027,PROD_Santé_02,Santé,2022-07-13,2022-07-13,2024-07-02,76.28,0.0,0,Actif,Prélèvement,2026-02-15 18:34:20.570865
CTR_000063,CLI_000028,PROD_Vie_01,Vie,2024-07-29,2024-07-29,2026-07-19,215.01,142642.76,0,Actif,Virement,2026-02-15 18:34:20.571744
CTR_000064,CLI_000028,PROD_Santé_01,Santé,2024-10-15,2024-10-15,2029-09-19,169.25,0.0,0,Actif,Virement,2026-02-15 18:34:20.572159
CTR_000065,CLI_000029,PROD_Habitation_05,Habitation,2024-06-30,2024-06-30,2026-06-20,34.33,195541.35,500,Actif,Virement,2026-02-15 18:34:20.573420
CTR_000066,CLI_000029,PROD_Habitation_01,Habitation,2024-09-22,2024-09-22,2026-09-12,45.63,213527.95,500,Actif,Virement,2026-02-15 18:34:20.573740
CTR_000067,CLI_000030,PROD_Santé_03,Santé,2024-05-04,2024-05-04,2025-04-29,162.05,0.0,0,Résilié,Virement,2026-02-15 18:34:20.575148
CTR_000068,CLI_000030,PROD_Vie_01,Vie,2023-12-20,2023-12-20,2026-12-04,222.75,447357.27,0,Résilié,Virement,2026-02-15 18:34:20.577841
CTR_000069,CLI_000030,PROD_Auto_04,Auto,2024-11-16,2024-11-16,2025-11-11,115.15,38920.63,500,Actif,Carte,2026-02-15 18:34:20.578244
CTR_000070,CLI_000030,PROD_Épargne_02,Épargne,2024-01-29,2024-01-29,2026-01-18,927.85,25086.81,0,Résilié,Virement,2026-02-15 18:34:20.578535
CTR_000071,CLI_000031,PROD_Vie_05,Vie,2024-01-29,2024-01-29,2028-01-08,311.94,214908.84,0,Actif,Virement,2026-02-15 18:34:20.582451
CTR_000072,CLI_000032,PROD_Vie_04,Vie,2023-03-11,2023-03-11,2024-03-05,322.8,498627.95,0,Actif,Prélèvement,2026-02-15 18:34:20.584124
CTR_000073,CLI_000032,PROD_Épargne_02,Épargne,2023-08-26,2023-08-26,2026-08-10,772.67,95696.75,0,Actif,Virement,2026-02-15 18:34:20.584386
CTR_000074,CLI_000032,PROD_Épargne_02,Épargne,2023-01-16,2023-01-16,2025-01-05,218.1,29417.63,0,Actif,Virement,2026-02-15 18:34:20.584670
CTR_000075,CLI_000033,PROD_Santé_05,Santé,2022-09-26,2022-09-26,2027-08-31,126.69,0.0,0,Actif,Virement,2026-02-15 18:34:20.587440
CTR_000076,CLI_000033,PROD_Épargne_05,Épargne,2023-04-13,2023-04-13,2028-03-17,839.46,35620.68,0,Résilié,Prélèvement,2026-02-15 18:34:20.587888
CTR_000077,CLI_000033,PROD_Habitation_02,Habitation,2024-05-30,2024-05-30,2029-05-04,96.62,148424.36,1000,Actif,Virement,2026-02-15 18:34:20.588154
CTR_000078,CLI_000033,PROD_Santé_02,Santé,2022-06-24,2022-06-24,2023-06-19,130.14,0.0,0,Actif,Carte,2026-02-15 18:34:20.588351
CTR_000079,CLI_000034,PROD_Santé_01,Santé,2024-05-18,2024-05-18,2029-04-22,78.93,0.0,0,Résilié,Prélèvement,2026-02-15 18:34:20.589222
CTR_000080,CLI_000034,PROD_Vie_02,Vie,2024-04-18,2024-04-18,2025-04-13,403.07,187827.19,0,Actif,Virement,2026-02-15 18:34:20.589462
CTR_000081,CLI_000035,PROD_Vie_05,Vie,2022-12-14,2022-12-14,2024-12-03,364.93,453405.39,0,Actif,Virement,2026-02-15 18:34:20.590736
CTR_000082,CLI_000035,PROD_Épargne_04,Épargne,2023-04-05,2023-04-05,2024-03-30,513.63,86132.18,0,Résilié,Carte,2026-02-15 18:34:20.591123
CTR_000083,CLI_000035,PROD_Habitation_02,Habitation,2023-04-11,2023-04-11,2027-03-21,55.17,165008.46,1000,Résilié,Prélèvement,2026-02-15 18:34:20.591471
CTR_000084,CLI_000035,PROD_Santé_02,Santé,2023-12-29,2023-12-29,2028-12-02,97.53,0.0,0,Actif,Virement,2026-02-15 18:34:20.593688
CTR_000085,CLI_000036,PROD_Auto_01,Auto,2024-07-03,2024-07-03,2025-06-28,90.23,26805.86,300,Actif,Prélèvement,2026-02-15 18:34:20.595630
CTR_000086,CLI_000036,PROD_Habitation_04,Habitation,2024-12-04,2024-12-04,2027-11-19,42.78,215346.2,1000,Actif,Carte,2026-02-15 18:34:20.596227
CTR_000087,CLI_000036,PROD_Habitation_03,Habitation,2024-01-20,2024-01-20,2026-01-09,75.3,50593.81,300,Actif,Prélèvement,2026-02-15 18:34:20.596553
CTR_000088,CLI_000037,PROD_Habitation_04,Habitation,2023-03-17,2023-03-17,2028-02-19,74.04,146824.91,1000,Actif,Carte,2026-02-15 18:34:20.597725
CTR_000089,CLI_000037,PROD_Santé_05,Santé,2024-08-08,2024-08-08,2028-07-18,142.24,0.0,0,Actif,Carte,2026-02-15 18:34:20.598048
CTR_000090,CLI_000037,PROD_Santé_05,Santé,2023-08-23,2023-08-23,2026-08-07,138.44,0.0,0,Résilié,Prélèvement,2026-02-15 18:34:20.598354
CTR_000091,CLI_000038,PROD_Épargne_05,Épargne,2024-03-11,2024-03-11,2025-03-06,843.72,64399.35,0,Résilié,Prélèvement,2026-02-15 18:34:20.599398
CTR_000092,CLI_000038,PROD_Vie_05,Vie,2023-09-15,2023-09-15,2027-08-25,399.39,193419.63,0,Actif,Virement,2026-02-15 18:34:20.599662
CTR_000093,CLI_000038,PROD_Santé_05,Santé,2023-10-15,2023-10-15,2026-09-29,173.01,0.0,0,Résilié,Virement,2026-02-15 18:34:20.599885
CTR_000094,CLI_000038,PROD_Santé_01,Santé,2024-03-12,2024-03-12,2027-02-25,195.02,0.0,0,Actif,Virement,2026-02-15 18:34:20.600101
CTR_000095,CLI_000039,PROD_Auto_01,Auto,2023-04-02,2023-04-02,2027-03-12,65.38,15687.41,1000,Actif,Carte,2026-02-15 18:34:20.600930
CTR_000096,CLI_000039,PROD_Habitation_04,Habitation,2023-03-02,2023-03-02,2024-02-25,38.52,201090.86,500,Résilié,Virement,2026-02-15 18:34:20.601247
CTR_000097,CLI_000040,PROD_Auto_03,Auto,2023-06-03,2023-06-03,2025-05-23,38.45,10771.85,200,Actif,Prélèvement,2026-02-15 18:34:20.603933
CTR_000098,CLI_000040,PROD_Vie_02,Vie,2023-12-15,2023-12-15,2026-11-29,322.87,93999.28,0,Actif,Virement,2026-02-15 18:34:20.604632
CTR_000099,CLI_000040,PROD_Auto_02,Auto,2024-05-01,2024-05-01,2028-04-10,40.99,42546.01,500,Résilié,Carte,2026-02-15 18:34:20.605179
CTR_000100,CLI_000041,PROD_Épargne_01,Épargne,2024-07-14,2024-07-14,2029-06-18,166.03,64427.9,0,Actif,Virement,2026-02-15 18:34:20.606605
CTR_000101,CLI_000041,PROD_Santé_05,Santé,2023-06-27,2023-06-27,2024-06-21,99.32,0.0,0,Résilié,Carte,2026-02-15 18:34:20.607005
CTR_000102,CLI_000041,PROD_Épargne_02,Épargne,2023-08-09,2023-08-09,2028-07-13,506.01,60131.34,0,Actif,Carte,2026-02-15 18:34:20.607267
CTR_000103,CLI_000042,PROD_Habitation_03,Habitation,2024-12-04,2024-12-04,2025-11-29,38.36,62598.72,1000,Actif,Prélèvement,2026-02-15 18:34:20.608472
CTR_000104,CLI_000042,PROD_Vie_05,Vie,2024-09-20,2024-09-20,2028-08-30,206.34,187060.82,0,Actif,Virement,2026-02-15 18:34:20.608771
CTR_000105,CLI_000043,PROD_Santé_03,Santé,2023-11-03,2023-11-03,2026-10-18,120.14,0.0,0,Résilié,Prélèvement,2026-02-15 18:34:20.609950
CTR_000106,CLI_000044,PROD_Vie_01,Vie,2024-02-20,2024-02-20,2025-02-14,420.35,289379.92,0,Actif,Virement,2026-02-15 18:34:20.610972
CTR_000107,CLI_000044,PROD_Épargne_02,Épargne,2024-10-24,2024-10-24,2029-09-28,876.36,86810.01,0,Actif,Virement,2026-02-15 18:34:20.611659
CTR_000108,CLI_000044,PROD_Vie_03,Vie,2023-11-29,2023-11-29,2025-11-18,494.82,397862.64,0,Actif,Virement,2026-02-15 18:34:20.612001
CTR_000109,CLI_000044,PROD_Épargne_01,Épargne,2024-04-29,2024-04-29,2026-04-19,257.43,22358.9,0,Actif,Virement,2026-02-15 18:34:20.612251
CTR_000110,CLI_000045,PROD_Épargne_04,Épargne,2022-09-05,2022-09-05,2027-08-10,451.37,81361.09,0,Résilié,Carte,2026-02-15 18:34:20.613511
CTR_000111,CLI_000045,PROD_Auto_05,Auto,2023-05-28,2023-05-28,2025-05-17,42.21,23911.3,200,Actif,Carte,2026-02-15 18:34:20.613966
CTR_000112,CLI_000045,PROD_Épargne_04,Épargne,2023-04-14,2023-04-14,2024-04-08,514.78,25966.84,0,Actif,Virement,2026-02-15 18:34:20.614136
CTR_000113,CLI_000046,PROD_Vie_01,Vie,2023-02-21,2023-02-21,2027-01-31,449.39,471719.55,0,Résilié,Carte,2026-02-15 18:34:20.614954
CTR_000114,CLI_000046,PROD_Santé_05,Santé,2023-05-13,2023-05-13,2025-05-02,121.45,0.0,0,Actif,Prélèvement,2026-02-15 18:34:20.615220
CTR_000115,CLI_000046,PROD_Vie_04,Vie,2023-10-01,2023-10-01,2024-09-25,107.9,394137.99,0,Actif,Prélèvement,2026-02-15 18:34:20.615874
CTR_000116,CLI_000046,PROD_Habitation_03,Habitation,2022-11-11,2022-11-11,2023-11-06,60.92,241745.61,300,Résilié,Prélèvement,2026-02-15 18:34:20.616178
CTR_000117,CLI_000047,PROD_Auto_02,Auto,2024-10-29,2024-10-29,2028-10-08,80.35,42324.07,200,Résilié,Prélèvement,2026-02-15 18:34:20.617033
CTR_000118,CLI_000048,PROD_Habitation_02,Habitation,2024-12-22,2024-12-22,2029-11-26,37.75,156809.29,1000,Résilié,Prélèvement,2026-02-15 18:34:20.617691
CTR_000119,CLI_000048,PROD_Épargne_04,Épargne,2024-12-11,2024-12-11,2027-11-26,102.73,14442.47,0,Résilié,Virement,2026-02-15 18:34:20.617911
