prime_id,contrat_id,date_echeance,montant_prime,date_paiement,statut_paiement,loaded_at
PRM_00000001,CTR_000001,2024-12-26,128.09,2024-12-31,Payé,2026-02-15 18:34:32.823171
PRM_00000002,CTR_000002,2024-10-01,106.44,2024-10-02,Payé,2026-02-15 18:34:32.823724
PRM_00000003,CTR_000002,2024-10-31,106.44,2024-11-05,Payé,2026-02-15 18:34:32.823966
PRM_00000004,CTR_000002,2024-11-30,106.44,2024-12-02,Payé,2026-02-15 18:34:32.824037
PRM_00000005,CTR_000002,2024-12-30,106.44,2024-12-31,Payé,2026-02-15 18:34:32.824096
PRM_00000006,CTR_000003,2024-07-23,54.27,2024-08-19,Retard,2026-02-15 18:34:32.824644
PRM_00000007,CTR_000003,2024-08-22,54.27,2024-08-22,Payé,2026-02-15 18:34:32.824705
PRM_00000008,CTR_000003,2024-09-21,54.27,2024-09-23,Payé,2026-02-15 18:34:32.824750
PRM_00000009,CTR_000003,2024-10-21,54.27,2024-10-21,Payé,2026-02-15 18:34:32.824794
PRM_00000010,CTR_000003,2024-11-20,54.27,2024-11-25,Payé,2026-02-15 18:34:32.824838
PRM_00000011,CTR_000003,2024-12-20,54.27,2024-12-24,Payé,2026-02-15 18:34:32.824882
PRM_00000012,CTR_000004,2024-06-14,265.03,2024-06-19,Payé,2026-02-15 18:34:32.825465
PRM_00000013,CTR_000004,2024-07-14,265.03,2024-07-17,Payé,2026-02-15 18:34:32.825516
PRM_00000014,CTR_000004,2024-08-13,265.03,2024-08-21,Retard,2026-02-15 18:34:32.825571
PRM_00000015,CTR_000004,2024-09-12,265.03,2024-09-17,Payé,2026-02-15 18:34:32.825620
PRM_00000016,CTR_000004,2024-10-12,265.03,2024-11-07,Retard,2026-02-15 18:34:32.825667
PRM_00000017,CTR_000004,2024-11-11,265.03,2024-11-14,Payé,2026-02-15 18:34:32.825718
PRM_00000018,CTR_000004,2024-12-11,265.03,2024-12-13,Payé,2026-02-15 18:34:32.825769
PRM_00000019,CTR_000005,2024-12-13,676.94,2024-12-14,Payé,2026-02-15 18:34:32.826286
PRM_00000020,CTR_000006,2024-11-10,462.54,2024-11-10,Payé,2026-02-15 18:34:32.826646
PRM_00000021,CTR_000006,2024-12-10,462.54,2024-12-12,Payé,2026-02-15 18:34:32.826695
PRM_00000022,CTR_000007,2024-10-08,23.26,2024-10-16,Retard,2026-02-15 18:34:32.827413
